,Title,Rating,Vote_count
0,Napoleon,6.7,35K
1,The Hunger Games: The Ballad of Songbirds & Snakes,7.2,36K
2,The Killer,6.8,116K
3,Leo,7.0,9.4K
4,Thanksgiving,7.0,8.6K
5,Oppenheimer,8.5,523K
6,Saltburn,7.5,7.2K
7,The Marvels,6.0,56K
8,Wish,5.9,5.9K
9,The Creator,6.9,78K
10,Killers of the Flower Moon,8.0,97K
11,Trolls Band Together,6.0,5K
12,Five Nights at Freddy's,5.5,73K
13,Blue Beetle,6.0,71K
14,The Hunger Games,7.2,975K
15,Madame Web,,
16,A Haunting in Venice,6.6,71K
17,Tiger 3,7.5,41K
18,The Holdovers,8.3,7.9K
19,Barbie,7.0,393K
20,Anyone But You,,
21,Please Don't Destroy: The Treasure of Foggy Mountain,6.2,3K
22,Best. Christmas. Ever!,4.4,4.9K
23,Scott Pilgrim vs. the World,7.5,455K
24,The Marsh King's Daughter,5.9,3.1K
25,No Hard Feelings,6.4,111K
26,Aquaman and the Lost Kingdom,,
27,Wonka,,
28,Leo,7.5,45K
29,National Lampoon's Christmas Vacation,7.5,208K
30,"Planes, Trains & Automobiles",7.6,156K
31,Mission: Impossible - Dead Reckoning Part One,7.8,193K
32,Spider-Man: Across the Spider-Verse,8.7,303K
33,Good Burger 2,5.5,1.6K
34,Elf,7.1,294K
35,Genie,6.0,2.3K
36,Home Alone,7.7,620K
37,X,6.5,154K
38,The Hunger Games: Catching Fire,7.5,702K
39,Poor Things,8.5,3.6K
40,Love Actually,7.6,511K
41,Dream Scenario,7.3,4.1K
42,Priscilla,7.1,5.7K
43,Next Goal Wins,6.5,2.4K
44,Nyad,7.1,11K
45,May December,7.5,2.5K
46,Pain Hustlers,6.5,29K
47,Godzilla Minus One,7.9,866
48,Maestro,7.1,1.2K
49,Old Dads,6.2,31K
50,The Equalizer 3,6.9,71K
51,Jawan,7.1,77K
52,EXmas,5.7,1.8K
53,Reptile,6.8,68K
54,Rebel Moon: Part One - A Child of Fire,,
55,Anatomy of a Fall,7.9,17K
56,Sound of Freedom,7.7,86K
57,Talk to Me,7.1,105K
58,Harry Potter and the Sorcerer's Stone,7.6,835K
59,Mean Girls,,
60,Dashing Through the Snow,5.5,1.4K
61,The Godfather,9.2,2M
62,The Shift,6.8,244
63,John Wick: Chapter 4,7.7,302K
64,Rustin,6.6,2.2K
65,Interstellar,8.7,2M
66,How the Grinch Stole Christmas,6.3,275K
67,Dumb Money,6.9,18K
68,Manodrome,4.8,1.5K
69,The Hunger Games: Mockingjay - Part 2,6.5,358K
70,Imaginary,,
71,Kingdom of the Planet of the Apes,,
72,The Grinch,6.4,82K
73,The Polar Express,6.6,229K
74,When Evil Lurks,7.0,14K
75,The Hunger Games: Mockingjay - Part 1,6.6,487K
76,The Shawshank Redemption,9.3,2.8M
77,Saw X,6.7,56K
78,Superman: Legacy,,
79,The Naughty Nine,5.0,628
80,Dune,8.0,729K
81,See You on Venus,5.9,1.7K
82,Gladiator,8.5,1.6M
83,The Iron Claw,,
84,Scream VI,6.5,111K
85,The Batman,7.8,746K
86,Dungeons & Dragons: Honor Among Thieves,7.3,202K
87,Elemental,7.0,99K
88,Guardians of the Galaxy Vol. 3,7.9,346K
89,Indiana Jones and the Dial of Destiny,6.6,143K
90,The Wizard of Oz,8.1,420K
91,Gran Turismo,7.2,60K
92,Prometheus,7.0,633K
93,The Boy and the Heron,7.6,6.4K
94,The Super Mario Bros. Movie,7.1,206K
95,Expend4bles,4.8,26K
96,The Wolf of Wall Street,8.2,1.5M
97,Ghostbusters: Afterlife,7.1,205K
98,Locked In,5.1,6.3K
99,All-Time High,5.7,997
